setting_id,setting_label,row_role,split_count,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,action_conflict_risk_mean,bad_neighbor_risk_mean,combined_risk_mean,safe_margin_score_mean,audit_oracle_score
lift_mg,Lift MG,primary,3,classifier_risk_fusion_top80,risk-hybrid,240,239,1,828,3432,0.996,0.289,0.000,0.004,0.967,-0.557,-2.442,-2.999,2.442,0.288
lift_mg,Lift MG,primary,3,classifier_top160_risk_refine_top80,risk-hybrid,240,238,2,828,3432,0.992,0.287,0.001,0.008,0.964,-0.542,-2.394,-2.936,2.394,0.287
lift_mg,Lift MG,primary,3,classifier_top320_risk_refine_top160,risk-hybrid,480,455,25,828,3432,0.948,0.550,0.007,0.052,0.898,-0.464,-2.090,-2.554,2.090,0.542
lift_mg,Lift MG,primary,3,classifier_top640_risk_refine_top320,risk-hybrid,960,669,291,828,3432,0.697,0.808,0.085,0.303,0.727,-0.428,-1.343,-1.771,1.343,0.723
lift_mg,Lift MG,primary,3,classifier_top960_risk_refine_top480,risk-hybrid,1440,738,702,828,3432,0.512,0.891,0.205,0.487,0.567,-0.437,-0.889,-1.325,0.889,0.687
lift_mg,Lift MG,primary,3,positive_nn_risk_fusion_top160,risk-hybrid,480,431,49,828,3432,0.898,0.521,0.014,0.102,0.877,-0.096,-1.983,-2.079,1.983,0.506
lift_mg,Lift MG,primary,3,positive_nn_risk_fusion_top320,risk-hybrid,960,623,337,828,3432,0.649,0.752,0.098,0.351,0.681,-0.211,-1.256,-1.467,1.256,0.654
lift_mg,Lift MG,primary,3,positive_nn_risk_fusion_top480,risk-hybrid,1440,691,749,828,3432,0.480,0.835,0.218,0.520,0.542,-0.231,-0.790,-1.022,0.790,0.616
lift_mg,Lift MG,primary,3,positive_nn_risk_fusion_top80,risk-hybrid,240,237,3,828,3432,0.988,0.286,0.001,0.013,0.949,-0.175,-2.329,-2.505,2.329,0.285
lift_mg,Lift MG,primary,3,positive_nn_top160_risk_refine_top80,risk-hybrid,240,238,2,828,3432,0.992,0.287,0.001,0.008,0.951,-0.141,-2.243,-2.384,2.243,0.287
lift_mg,Lift MG,primary,3,positive_nn_top320_risk_refine_top160,risk-hybrid,480,401,79,828,3432,0.835,0.484,0.023,0.165,0.839,-0.073,-1.777,-1.850,1.777,0.461
lift_mg,Lift MG,primary,3,positive_nn_top640_risk_refine_top320,risk-hybrid,960,578,382,828,3432,0.602,0.698,0.111,0.398,0.639,-0.182,-1.114,-1.296,1.114,0.587
lift_mg,Lift MG,primary,3,positive_nn_top960_risk_refine_top480,risk-hybrid,1440,701,739,828,3432,0.487,0.847,0.215,0.513,0.528,-0.304,-0.795,-1.099,0.795,0.631
lift_mg,Lift MG,primary,3,triple_fusion_top160,risk-hybrid,480,461,19,828,3432,0.960,0.557,0.006,0.040,0.911,-0.123,-2.139,-2.261,2.139,0.551
lift_mg,Lift MG,primary,3,triple_fusion_top320,risk-hybrid,960,681,279,828,3432,0.709,0.822,0.081,0.291,0.744,-0.296,-1.357,-1.653,1.357,0.741
lift_mg,Lift MG,primary,3,triple_fusion_top480,risk-hybrid,1440,762,678,828,3432,0.529,0.920,0.198,0.471,0.608,-0.310,-0.882,-1.193,0.882,0.723
lift_mg,Lift MG,primary,3,triple_fusion_top80,risk-hybrid,240,240,0,828,3432,1.000,0.290,0.000,0.000,0.960,-0.215,-2.459,-2.674,2.459,0.290
