task,comparison,left_method,right_method,split_seed,initial_demo_id,left_success_mean,right_success_mean,paired_delta,left_rollouts,right_rollouts
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1422,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1429,1.000,1.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1443,0.000,0.000,0.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1458,0.000,1.000,-1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_1470,1.000,0.000,1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,11,demo_901,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1023,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1102,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1112,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1128,1.000,0.000,1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1213,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1215,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1229,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1234,0.000,0.500,-0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1238,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1251,0.500,1.000,-0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1256,0.000,0.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1258,0.500,0.000,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1271,0.500,0.500,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1274,1.000,0.500,0.500,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1304,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1307,0.000,1.000,-1.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1310,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1314,1.000,1.000,0.000,2,2
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1330,1.000,0.000,1.000,1,1
Lift MG,weighted BC - TRIAGE-BC,weighted BC,TRIAGE-BC,22,demo_1369,0.000,0.000,0.000,1,1
