setting_id,setting_label,row_role,split_seed,candidate_id,candidate_family,selected_unlabeled,hidden_positive_selected,hidden_bad_selected,total_hidden_positive,total_hidden_bad,support_purity,hidden_positive_recall,hidden_bad_admission,selected_contamination,classifier_score_mean,pos_state_distance,action_conflict_distance,pos_state_action_distance,neg_state_action_distance,action_conflict_risk,bad_neighbor_risk,positive_distance_risk,negative_neighbor_risk,safe_margin_score,source
lift_mg,Lift MG,primary,11,hybrid_pareto_top160,hybrid,160,130,30,276,1144,0.812,0.471,0.026,0.188,0.904,12.063,4.654,12.952,17.758,0.253,-1.478,-1.126,-0.530,1.478,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_rank_fusion_classifier_heavy_top160,hybrid,160,141,19,276,1144,0.881,0.511,0.017,0.119,0.931,11.958,4.579,12.822,18.507,0.243,-1.696,-1.164,-0.715,1.696,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_rank_fusion_equal_top160,hybrid,160,130,30,276,1144,0.812,0.471,0.026,0.188,0.904,12.063,4.654,12.952,17.758,0.253,-1.478,-1.126,-0.530,1.478,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_union_pos160_classifier80,hybrid,197,122,75,276,1144,0.619,0.442,0.066,0.381,0.740,12.496,4.945,13.455,16.594,0.286,-1.065,-0.977,-0.241,1.065,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,hybrid_union_pos160_triage,hybrid,270,186,84,276,1144,0.689,0.674,0.073,0.311,0.796,12.957,4.953,13.887,17.646,0.147,-1.218,-0.850,-0.502,1.218,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,positive_nn_top160,positive-only,160,85,75,276,1144,0.531,0.308,0.066,0.469,0.682,12.367,4.833,13.301,15.405,0.262,-0.808,-1.023,0.053,0.808,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,positive_nn_top320,positive-only,320,122,198,276,1144,0.381,0.442,0.173,0.619,0.559,12.725,4.909,13.645,14.331,0.194,-0.457,-0.922,0.319,0.457,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,positive_nn_top480,positive-only,480,158,322,276,1144,0.329,0.572,0.281,0.671,0.491,12.908,4.942,13.830,14.028,0.156,-0.335,-0.867,0.394,0.335,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,positive_nn_top80,positive-only,80,66,14,276,1144,0.825,0.239,0.012,0.175,0.870,12.082,4.751,13.011,17.691,0.303,-1.446,-1.108,-0.513,1.446,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,11,triage_existing,bad-aware hard,178,169,9,276,1144,0.949,0.612,0.008,0.051,0.969,13.056,4.980,13.985,20.169,0.132,-1.819,-0.821,-1.126,1.819,results/final_paper/splits/lift_mg_mg_sparse_split11/split_indices.json
lift_mg,Lift MG,primary,22,classifier_top160,bad-aware hard,160,150,10,276,1144,0.938,0.543,0.009,0.062,0.958,11.670,4.355,12.456,19.059,-0.397,-1.961,-1.132,-0.847,1.961,results/final_paper/splits/lift_mg_mg_sparse_split22/split_indices.json
