method,selector_mode,unlabeled_positive_count,unlabeled_negative_count,unlabeled_bad_fraction,seed,estimated_positive_mass,effective_min,labeled_positive_score_mean,labeled_negative_score_mean,score_gap,adaptive_mode,masscap_mode,selected_demo_count,selected_hidden_positive_demos,selected_hidden_bad_demos,selected_hidden_positive_purity,selected_hidden_positive_recall,selected_score_min,selected_score_mean,selected_score_max
adaptive_masscap,coverage_gap,60,80,0.5714285714285714,1,68.25765429478751,40,0.8172576308250428,0.17195123434066772,0.013305604457855225,coverage_gap,coverage_gap,57,49,8,0.8596491228070176,0.8166666666666667,0.5703368782997131,0.7248411147218001,0.9171738028526306
coverage_gap,coverage_gap,60,80,0.5714285714285714,1,68.25765429478751,40,0.8172576308250428,0.17195123434066772,0.013305604457855225,coverage_gap,coverage_gap,57,49,8,0.8596491228070176,0.8166666666666667,0.5703368782997131,0.7248411147218001,0.9171738028526306
top20,top20,60,80,0.5714285714285714,1,68.25765429478751,40,0.8172576308250428,0.17195123434066772,0.013305604457855225,coverage_gap,coverage_gap,20,20,0,1.0,0.3333333333333333,0.7675073146820068,0.8400437951087951,0.9171738028526306
top40,top40,60,80,0.5714285714285714,1,68.25765429478751,40,0.8172576308250428,0.17195123434066772,0.013305604457855225,coverage_gap,coverage_gap,40,39,1,0.975,0.65,0.6479237079620361,0.7734536424279213,0.9171738028526306
top80,top80,60,80,0.5714285714285714,1,68.25765429478751,40,0.8172576308250428,0.17195123434066772,0.013305604457855225,coverage_gap,coverage_gap,80,60,20,0.75,1.0,0.46343326568603516,0.6611144330352545,0.9171738028526306
adaptive_posmass,coverage_gap,60,80,0.5714285714285714,2,64.15794670577728,40,0.8194297730922699,0.180983055382967,0.018530964851379395,coverage_gap,coverage_gap,49,48,1,0.9795918367346939,0.8,0.5908119678497314,0.7293115270381071,0.8753777146339417
adaptive_masscap,coverage_gap,60,80,0.5714285714285714,2,64.15794670577728,40,0.8194297730922699,0.180983055382967,0.018530964851379395,coverage_gap,coverage_gap,49,48,1,0.9795918367346939,0.8,0.5908119678497314,0.7293115270381071,0.8753777146339417
coverage_gap,coverage_gap,60,80,0.5714285714285714,2,64.15794670577728,40,0.8194297730922699,0.180983055382967,0.018530964851379395,coverage_gap,coverage_gap,49,48,1,0.9795918367346939,0.8,0.5908119678497314,0.7293115270381071,0.8753777146339417
top20,top20,60,80,0.5714285714285714,2,64.15794670577728,40,0.8194297730922699,0.180983055382967,0.018530964851379395,coverage_gap,coverage_gap,20,20,0,1.0,0.3333333333333333,0.7719480395317078,0.8079558402299881,0.8753777146339417
top40,top40,60,80,0.5714285714285714,2,64.15794670577728,40,0.8194297730922699,0.180983055382967,0.018530964851379395,coverage_gap,coverage_gap,40,40,0,1.0,0.6666666666666666,0.6487011909484863,0.7550600171089172,0.8753777146339417
top80,top80,60,80,0.5714285714285714,2,64.15794670577728,40,0.8194297730922699,0.180983055382967,0.018530964851379395,coverage_gap,coverage_gap,80,60,20,0.75,1.0,0.4312441945075989,0.6424739446491003,0.8753777146339417
adaptive_posmass,coverage_gap,70,80,0.5333333333333333,0,74.67556917291046,40,0.8229589283466339,0.18174652457237245,0.019651830196380615,coverage_gap,coverage_gap,64,58,6,0.90625,0.8285714285714286,0.5764231085777283,0.725578865967691,0.8998093008995056
adaptive_masscap,coverage_gap,70,80,0.5333333333333333,0,74.67556917291046,40,0.8229589283466339,0.18174652457237245,0.019651830196380615,coverage_gap,coverage_gap,64,58,6,0.90625,0.8285714285714286,0.5764231085777283,0.725578865967691,0.8998093008995056
coverage_gap,coverage_gap,70,80,0.5333333333333333,0,74.67556917291046,40,0.8229589283466339,0.18174652457237245,0.019651830196380615,coverage_gap,coverage_gap,64,58,6,0.90625,0.8285714285714286,0.5764231085777283,0.725578865967691,0.8998093008995056
top20,top20,70,80,0.5333333333333333,0,74.67556917291046,40,0.8229589283466339,0.18174652457237245,0.019651830196380615,coverage_gap,coverage_gap,20,20,0,1.0,0.2857142857142857,0.7799900770187378,0.8362848341464997,0.8998093008995056
top40,top40,70,80,0.5333333333333333,0,74.67556917291046,40,0.8229589283466339,0.18174652457237245,0.019651830196380615,coverage_gap,coverage_gap,40,39,1,0.975,0.5571428571428572,0.6838701963424683,0.7855135962367058,0.8998093008995056
top80,top80,70,80,0.5333333333333333,0,74.67556917291046,40,0.8229589283466339,0.18174652457237245,0.019651830196380615,coverage_gap,coverage_gap,80,66,14,0.825,0.9428571428571428,0.5030496716499329,0.686109334230423,0.8998093008995056
adaptive_posmass,coverage_gap,70,80,0.5333333333333333,1,76.61857488476102,40,0.8167421102523804,0.1733545444905758,0.016273438930511475,coverage_gap,coverage_gap,40,40,0,1.0,0.5714285714285714,0.6882392764091492,0.7952726766467094,0.9153320789337158
adaptive_masscap,coverage_gap,70,80,0.5333333333333333,1,76.61857488476102,40,0.8167421102523804,0.1733545444905758,0.016273438930511475,coverage_gap,coverage_gap,40,40,0,1.0,0.5714285714285714,0.6882392764091492,0.7952726766467094,0.9153320789337158
coverage_gap,coverage_gap,70,80,0.5333333333333333,1,76.61857488476102,40,0.8167421102523804,0.1733545444905758,0.016273438930511475,coverage_gap,coverage_gap,40,40,0,1.0,0.5714285714285714,0.6882392764091492,0.7952726766467094,0.9153320789337158
top20,top20,70,80,0.5333333333333333,1,76.61857488476102,40,0.8167421102523804,0.1733545444905758,0.016273438930511475,coverage_gap,coverage_gap,20,20,0,1.0,0.2857142857142857,0.7965518236160278,0.8522196501493454,0.9153320789337158
top40,top40,70,80,0.5333333333333333,1,76.61857488476102,40,0.8167421102523804,0.1733545444905758,0.016273438930511475,coverage_gap,coverage_gap,40,40,0,1.0,0.5714285714285714,0.6882392764091492,0.7952726766467094,0.9153320789337158
top80,top80,70,80,0.5333333333333333,1,76.61857488476102,40,0.8167421102523804,0.1733545444905758,0.016273438930511475,coverage_gap,coverage_gap,80,65,15,0.8125,0.9285714285714286,0.4985888600349426,0.6918729729950428,0.9153320789337158
adaptive_posmass,coverage_gap,70,80,0.5333333333333333,2,72.42630484304226,40,0.8182953476905823,0.18252443969249726,0.01803004741668701,coverage_gap,coverage_gap,58,57,1,0.9827586206896551,0.8142857142857143,0.5913039445877075,0.728697245490962,0.8748872876167297
adaptive_masscap,coverage_gap,70,80,0.5333333333333333,2,72.42630484304226,40,0.8182953476905823,0.18252443969249726,0.01803004741668701,coverage_gap,coverage_gap,58,57,1,0.9827586206896551,0.8142857142857143,0.5913039445877075,0.728697245490962,0.8748872876167297
coverage_gap,coverage_gap,70,80,0.5333333333333333,2,72.42630484304226,40,0.8182953476905823,0.18252443969249726,0.01803004741668701,coverage_gap,coverage_gap,58,57,1,0.9827586206896551,0.8142857142857143,0.5913039445877075,0.728697245490962,0.8748872876167297
top20,top20,70,80,0.5333333333333333,2,72.42630484304226,40,0.8182953476905823,0.18252443969249726,0.01803004741668701,coverage_gap,coverage_gap,20,20,0,1.0,0.2857142857142857,0.7764400839805603,0.8144748389720917,0.8748872876167297
top40,top40,70,80,0.5333333333333333,2,72.42630484304226,40,0.8182953476905823,0.18252443969249726,0.01803004741668701,coverage_gap,coverage_gap,40,40,0,1.0,0.5714285714285714,0.6829294562339783,0.7711288258433342,0.8748872876167297
top80,top80,70,80,0.5333333333333333,2,72.42630484304226,40,0.8182953476905823,0.18252443969249726,0.01803004741668701,coverage_gap,coverage_gap,80,68,12,0.85,0.9714285714285714,0.48212260007858276,0.6739081665873528,0.8748872876167297
adaptive_posmass,coverage_gap,80,80,0.5,0,82.32520663291139,40,0.82299884557724,0.18193423971533776,0.01969534158706665,coverage_gap,coverage_gap,73,67,6,0.9178082191780822,0.8375,0.5699806213378906,0.7241660078910932,0.9103220701217651
adaptive_masscap,coverage_gap,80,80,0.5,0,82.32520663291139,40,0.82299884557724,0.18193423971533776,0.01969534158706665,coverage_gap,coverage_gap,73,67,6,0.9178082191780822,0.8375,0.5699806213378906,0.7241660078910932,0.9103220701217651
coverage_gap,coverage_gap,80,80,0.5,0,82.32520663291139,40,0.82299884557724,0.18193423971533776,0.01969534158706665,coverage_gap,coverage_gap,73,67,6,0.9178082191780822,0.8375,0.5699806213378906,0.7241660078910932,0.9103220701217651
top20,top20,80,80,0.5,0,82.32520663291139,40,0.82299884557724,0.18193423971533776,0.01969534158706665,coverage_gap,coverage_gap,20,20,0,1.0,0.25,0.7941805720329285,0.8412068963050843,0.9103220701217651
top40,top40,80,80,0.5,0,82.32520663291139,40,0.82299884557724,0.18193423971533776,0.01969534158706665,coverage_gap,coverage_gap,40,40,0,1.0,0.5,0.7068200707435608,0.7955948784947395,0.9103220701217651
top80,top80,80,80,0.5,0,82.32520663291139,40,0.82299884557724,0.18193423971533776,0.01969534158706665,coverage_gap,coverage_gap,80,72,8,0.9,0.9,0.5288740396499634,0.7081220485270023,0.9103220701217651
adaptive_posmass,coverage_gap,80,80,0.5,1,84.59686269177442,40,0.8168541669845581,0.17366430312395095,0.02066558599472046,coverage_gap,coverage_gap,45,45,0,1.0,0.5625,0.6903260350227356,0.7971914635764228,0.9403827786445618
adaptive_masscap,coverage_gap,80,80,0.5,1,84.59686269177442,40,0.8168541669845581,0.17366430312395095,0.02066558599472046,coverage_gap,coverage_gap,45,45,0,1.0,0.5625,0.6903260350227356,0.7971914635764228,0.9403827786445618
coverage_gap,coverage_gap,80,80,0.5,1,84.59686269177442,40,0.8168541669845581,0.17366430312395095,0.02066558599472046,coverage_gap,coverage_gap,45,45,0,1.0,0.5625,0.6903260350227356,0.7971914635764228,0.9403827786445618
top20,top20,80,80,0.5,1,84.59686269177442,40,0.8168541669845581,0.17366430312395095,0.02066558599472046,coverage_gap,coverage_gap,20,20,0,1.0,0.25,0.8099285960197449,0.862580406665802,0.9403827786445618
top40,top40,80,80,0.5,1,84.59686269177442,40,0.8168541669845581,0.17366430312395095,0.02066558599472046,coverage_gap,coverage_gap,40,40,0,1.0,0.5,0.7131102085113525,0.8098907202482224,0.9403827786445618
top80,top80,80,80,0.5,1,84.59686269177442,40,0.8168541669845581,0.17366430312395095,0.02066558599472046,coverage_gap,coverage_gap,80,70,10,0.875,0.875,0.5334497094154358,0.7160318836569786,0.9403827786445618
adaptive_posmass,coverage_gap,80,80,0.5,2,80.35577807088853,40,0.8180728614330292,0.1831069640815258,0.016429603099822998,coverage_gap,coverage_gap,66,65,1,0.9848484848484849,0.8125,0.589424192905426,0.7294957240422567,0.8913596272468567
adaptive_masscap,coverage_gap,80,80,0.5,2,80.35577807088853,40,0.8180728614330292,0.1831069640815258,0.016429603099822998,coverage_gap,coverage_gap,66,65,1,0.9848484848484849,0.8125,0.589424192905426,0.7294957240422567,0.8913596272468567
coverage_gap,coverage_gap,80,80,0.5,2,80.35577807088853,40,0.8180728614330292,0.1831069640815258,0.016429603099822998,coverage_gap,coverage_gap,66,65,1,0.9848484848484849,0.8125,0.589424192905426,0.7294957240422567,0.8913596272468567
top20,top20,80,80,0.5,2,80.35577807088853,40,0.8180728614330292,0.1831069640815258,0.016429603099822998,coverage_gap,coverage_gap,20,20,0,1.0,0.25,0.7838529348373413,0.8207841604948044,0.8913596272468567
top40,top40,80,80,0.5,2,80.35577807088853,40,0.8180728614330292,0.1831069640815258,0.016429603099822998,coverage_gap,coverage_gap,40,40,0,1.0,0.5,0.6901065707206726,0.7827562689781189,0.8913596272468567
top80,top80,80,80,0.5,2,80.35577807088853,40,0.8180728614330292,0.1831069640815258,0.016429603099822998,coverage_gap,coverage_gap,80,74,6,0.925,0.925,0.5197629928588867,0.6988204978406429,0.8913596272468567
